Rk,Team,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,Houston Astros,C,Martin Maldonado,35,113,379,344,40,64,12,0,15,45,0,0,22,116,0.186,0.248,0.352,0.6,69,121,6,7,4,2,0
2,Houston Astros,1B,Yuli Gurriel,38,146,584,545,53,132,40,0,8,53,8,0,30,73,0.242,0.288,0.36,0.647,84,196,13,6,0,3,0
3,Houston Astros,2B,Jose Altuve,32,141,604,527,103,158,39,0,28,57,18,1,66,87,0.3,0.387,0.533,0.921,160,281,13,10,0,1,2
4,Houston Astros,SS,Jeremy Pena,24,136,558,521,72,132,20,2,22,63,11,2,22,135,0.253,0.289,0.426,0.715,101,222,5,6,1,5,0
5,Houston Astros,3B,Alex Bregman,28,155,656,548,93,142,38,0,23,93,1,2,87,77,0.259,0.366,0.454,0.82,133,249,18,11,0,10,1
6,Houston Astros,LF,Michael Brantley,35,64,277,243,28,70,14,1,5,26,1,1,31,30,0.288,0.37,0.416,0.785,125,101,1,1,1,1,2
7,Houston Astros,CF,Chas McCormick,27,119,407,359,47,88,12,2,14,44,4,3,46,106,0.245,0.332,0.407,0.738,110,146,5,1,0,1,0
8,Houston Astros,RF,Kyle Tucker,25,150,609,544,71,140,28,1,30,107,25,4,59,95,0.257,0.33,0.478,0.808,128,260,11,1,0,2,4
9,Houston Astros,DH,Yordan Alvarez,25,135,561,470,95,144,29,2,37,97,1,1,78,106,0.306,0.406,0.613,1.019,187,288,12,6,0,7,9
1,Philadelphia Phillies,C,J.T. Realmuto,31,139,562,504,75,139,26,5,22,84,21,1,41,119,0.276,0.342,0.478,0.82,129,241,7,12,0,5,1
2,Philadelphia Phillies,1B,Rhys Hoskins,29,156,672,589,81,145,33,2,30,79,2,1,72,169,0.246,0.332,0.462,0.794,122,272,12,6,0,4,0
3,Philadelphia Phillies,2B,Jean Segura,32,98,387,354,45,98,9,0,10,33,13,6,25,58,0.277,0.336,0.387,0.723,104,137,16,7,0,1,1
4,Philadelphia Phillies,SS,Bryson Stott,24,127,466,427,58,100,19,2,10,49,12,4,36,89,0.234,0.295,0.358,0.653,84,153,3,1,1,1,0
5,Philadelphia Phillies,3B,Alec Bohm,25,152,631,586,79,164,24,3,13,72,2,3,31,110,0.28,0.315,0.398,0.713,100,233,18,4,0,10,1
6,Philadelphia Phillies,LF,Kyle Schwarber,29,155,669,577,100,126,21,3,46,94,10,1,86,200,0.218,0.323,0.504,0.827,130,291,10,4,0,2,3
7,Philadelphia Phillies,CF,Matt Vierling,25,117,357,325,41,80,12,2,6,32,7,4,23,70,0.246,0.297,0.351,0.648,83,114,7,3,0,6,0
8,Philadelphia Phillies,RF,Nick Castellanos,30,136,558,524,56,138,27,0,13,62,7,1,29,130,0.263,0.305,0.389,0.694,95,204,15,3,0,2,0
9,Philadelphia Phillies,DH,Bryce Harper,29,99,426,370,63,106,28,1,18,65,11,4,46,87,0.286,0.364,0.514,0.877,145,190,13,3,0,7,9